drug_concept_id,outcome_concept_id,lrt_p,adj_p,group,sig_group,drug_concept,outcome_concept,SOC,Level_4_Des,Level_3_Des,Level_2_Des,Level_1_Des
745466,36211496,5.19E-36,2.38E-28,adult_children_senior_youth,youth,valproate,overdose,"Injury, poisoning and procedural complications",0,0,0,0
1125315,35708208,5.92E-36,2.72E-28,adult_children_senior_youth,children,acetaminophen,vomiting,Gastrointestinal disorders,$Anilides$Anilides$Opioids in combination with non-opioid analgesics$Opioids in combination with non-opioid analgesics$Anilides$Opioids in combination with non-opioid analgesics$Opioids in combination with non-opioid analgesics,$OTHER ANALGESICS AND ANTIPYRETICS$OTHER ANALGESICS AND ANTIPYRETICS$OPIOIDS$OPIOIDS$OTHER ANALGESICS AND ANTIPYRETICS$OPIOIDS$OPIOIDS,$ANALGESICS$ANALGESICS$ANALGESICS$ANALGESICS$ANALGESICS$ANALGESICS$ANALGESICS,$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM
1338005,35204953,6.28E-36,2.88E-28,adult_children_senior_youth,senior,bisoprolol,atrial fibrillation,Cardiac disorders,"$Beta blocking agents, other combinations$Beta blocking agents, selective, and thiazides$Beta blocking agents, selective$ACE inhibitors, other combinations$Beta blocking agents and calcium channel blockers","$BETA BLOCKING AGENTS, OTHER COMBINATIONS$BETA BLOCKING AGENTS AND THIAZIDES$BETA BLOCKING AGENTS$ACE INHIBITORS, COMBINATIONS$BETA BLOCKING AGENTS, OTHER COMBINATIONS",$BETA BLOCKING AGENTS$BETA BLOCKING AGENTS$BETA BLOCKING AGENTS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$BETA BLOCKING AGENTS,$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM
1547504,35204953,7.58E-36,3.48E-28,adult_children_senior,senior,rosiglitazone,atrial fibrillation,Cardiac disorders,$Combinations of oral blood glucose lowering drugs$Thiazolidinediones$Combinations of oral blood glucose lowering drugs,"$BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS$BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS$BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",$DRUGS USED IN DIABETES$DRUGS USED IN DIABETES$DRUGS USED IN DIABETES,$ALIMENTARY TRACT AND METABOLISM$ALIMENTARY TRACT AND METABOLISM$ALIMENTARY TRACT AND METABOLISM
1154161,36718347,7.62E-36,3.50E-28,adult_children_senior_youth,children,montelukast,agitation,Nervous system disorders,$Leukotriene receptor antagonists$Leukotriene receptor antagonists,$OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES$OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,$RESPIRATORY SYSTEM$RESPIRATORY SYSTEM
1112807,37522318,7.64E-36,3.51E-28,adult_children_senior,adult,aspirin,coronary artery bypass,Surgical and medical procedures,0,0,0,0
1502905,35607485,7.95E-36,3.65E-28,adult_children_senior_youth,senior,insulin glargine,visual impairment,Eye disorders,"$Insulins and analogues for injection, long-acting$Insulins and analogues for injection, long-acting",$INSULINS AND ANALOGUES$INSULINS AND ANALOGUES,$DRUGS USED IN DIABETES$DRUGS USED IN DIABETES,$ALIMENTARY TRACT AND METABOLISM$ALIMENTARY TRACT AND METABOLISM
1125315,35909503,8.26E-36,3.79E-28,adult_children_senior_youth,children_youth,acetaminophen,liver injury,Hepatobiliary disorders,$Anilides$Anilides$Opioids in combination with non-opioid analgesics$Opioids in combination with non-opioid analgesics$Anilides$Opioids in combination with non-opioid analgesics$Opioids in combination with non-opioid analgesics,$OTHER ANALGESICS AND ANTIPYRETICS$OTHER ANALGESICS AND ANTIPYRETICS$OPIOIDS$OPIOIDS$OTHER ANALGESICS AND ANTIPYRETICS$OPIOIDS$OPIOIDS,$ANALGESICS$ANALGESICS$ANALGESICS$ANALGESICS$ANALGESICS$ANALGESICS$ANALGESICS,$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM
1332418,35204928,8.46E-36,3.88E-28,adult_children_senior_youth,youth,amlodipine,bradycardia,Cardiac disorders,"$Renin-inhibitors$HMG CoA reductase inhibitors, other combinations$ACE inhibitors and calcium channel blockers$ACE inhibitors and calcium channel blockers$Beta blocking agents and calcium channel blockers$Angiotensin II receptor blockers (ARBs) and calcium channel blockers$Beta blocking agents and calcium channel blockers$Angiotensin II receptor blockers (ARBs) and calcium channel blockers$Renin-inhibitors$HMG CoA reductase inhibitors, other combinations$Beta blocking agents and calcium channel blockers$Dihydropyridine derivatives$ACE inhibitors, other combinations$Angiotensin II receptor blockers (ARBs) and calcium channel blockers$Angiotensin II receptor blockers (ARBs), other combinations$Calcium channel blockers and diuretics$Angiotensin II receptor blockers (ARBs) and calcium channel blockers$Angiotensin II receptor blockers (ARBs), other combinations$ACE inhibitors, other combinations$HMG CoA reductase inhibitors, other combinations$Angiotensin II receptor blockers (ARBs) and calcium channel blockers$HMG CoA reductase inhibitors, other combinations$Angiotensin II receptor blockers (ARBs), other combinations$Angiotensin II receptor blockers (ARBs) and calcium channel blockers$HMG CoA reductase inhibitors, other combinations$ACE inhibitors and calcium channel blockers","$OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$LIPID MODIFYING AGENTS, COMBINATIONS$ACE INHIBITORS, COMBINATIONS$ACE INHIBITORS, COMBINATIONS$BETA BLOCKING AGENTS, OTHER COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$BETA BLOCKING AGENTS, OTHER COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$LIPID MODIFYING AGENTS, COMBINATIONS$BETA BLOCKING AGENTS, OTHER COMBINATIONS$SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS$ACE INHIBITORS, COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$CALCIUM CHANNEL BLOCKERS AND DIURETICS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$ACE INHIBITORS, COMBINATIONS$LIPID MODIFYING AGENTS, COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$LIPID MODIFYING AGENTS, COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS$LIPID MODIFYING AGENTS, COMBINATIONS$ACE INHIBITORS, COMBINATIONS",$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$LIPID MODIFYING AGENTS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$BETA BLOCKING AGENTS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$BETA BLOCKING AGENTS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$LIPID MODIFYING AGENTS$BETA BLOCKING AGENTS$CALCIUM CHANNEL BLOCKERS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$CALCIUM CHANNEL BLOCKERS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$LIPID MODIFYING AGENTS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$LIPID MODIFYING AGENTS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM$LIPID MODIFYING AGENTS$AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM
950637,36009891,8.83E-36,4.05E-28,adult_children_senior_youth,children,tacrolimus,acute graft versus host disease,"Injury, poisoning and procedural complications","$Agents for dermatitis, excluding corticosteroids$Calcineurin inhibitors",$OTHER DERMATOLOGICAL PREPARATIONS$IMMUNOSUPPRESSANTS,$OTHER DERMATOLOGICAL PREPARATIONS$IMMUNOSUPPRESSANTS,$DERMATOLOGICALS$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1106776,36009700,8.98E-36,4.12E-28,adult_children_senior_youth,youth,tiotropium,asthma,"Respiratory, thoracic and mediastinal disorders",$Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids$Anticholinergics$Anticholinergics,"$ADRENERGICS, INHALANTS$OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS$OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,$RESPIRATORY SYSTEM$RESPIRATORY SYSTEM$RESPIRATORY SYSTEM
1154343,35809243,9.15E-36,4.20E-28,adult_children_senior_youth,youth,albuterol,pain,General disorders and administration site conditions,0,0,0,0
1308290,37521169,9.70E-36,4.45E-28,adult_children_senior_youth,adult,vincristine,stem cell transplant,Surgical and medical procedures,Vinca alkaloids and analogues,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
744740,36919230,1.02E-35,4.67E-28,adult_children_senior_youth,children_youth,zolpidem,completed suicide,General disorders and administration site conditions,Benzodiazepine related drugs,HYPNOTICS AND SEDATIVES,PSYCHOLEPTICS,NERVOUS SYSTEM
1395557,36110978,1.11E-35,5.09E-28,adult_children_senior_youth,senior,fludarabine,progressive multifocal leukoencephalopathy,Infections and infestations,Purine analogues,ANTIMETABOLITES,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
937368,36009833,1.15E-35,5.28E-28,adult_children_senior_youth,senior,infliximab,rheumatoid arthritis,Immune system disorders,Tumor necrosis factor alpha (TNF-a) inhibitors,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1519936,37119548,1.35E-35,6.18E-28,adult_children_youth,children_youth,etonogestrel,menorrhagia,Reproductive system and breast disorders,Progestogens,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GENITO URINARY SYSTEM AND SEX HORMONES
1103314,37219885,1.50E-35,6.87E-28,adult_children_senior_youth,children,tramadol,apnoea,"Respiratory, thoracic and mediastinal disorders",$Opioids in combination with non-opioid analgesics$Opioids in combination with non-opioid analgesics$Other opioids,$OPIOIDS$OPIOIDS$OPIOIDS,$ANALGESICS$ANALGESICS$ANALGESICS,$NERVOUS SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM
1762711,35205230,1.61E-35,7.39E-28,adult_children_senior_youth,senior,ribavirin,ascites,Gastrointestinal disorders,Antivirals for treatment of HCV infections,DIRECT ACTING ANTIVIRALS,ANTIVIRALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
956874,35205189,1.80E-35,8.25E-28,adult_children_senior_youth,adult,furosemide,myocardial infarction,Vascular disorders,"$High-ceiling diuretics and potassium-sparing agents$Sulfonamides, plain$Sulfonamides$Sulfonamides and potassium in combination","$DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION$HIGH-CEILING DIURETICS$ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS$HIGH-CEILING DIURETICS",$DIURETICS$DIURETICS$GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS$DIURETICS,$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$GENITO URINARY SYSTEM AND SEX HORMONES$CARDIOVASCULAR SYSTEM
1305058,35707713,1.95E-35,8.96E-28,adult_children_senior_youth,children_youth,methotrexate,pancreatitis,Gastrointestinal disorders,$Other immunosuppressants$Folic acid analogues,$IMMUNOSUPPRESSANTS$ANTIMETABOLITES,$IMMUNOSUPPRESSANTS$ANTINEOPLASTIC AGENTS,$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
986417,36918858,2.08E-35,9.57E-28,adult_children_senior_youth,children_youth,polyethylene glycol 3350,anxiety,Psychiatric disorders,0,0,0,0
1310317,35104236,2.08E-35,9.56E-28,adult_children_senior_youth,children_youth,cyclophosphamide,histiocytosis haematophagic,0,Nitrogen mustard analogues,ALKYLATING AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
40222444,35506742,2.20E-35,1.01E-27,adult_children_senior_youth,children,denosumab,hypercalcaemia,Metabolism and nutrition disorders,Other drugs affecting bone structure and mineralization,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,DRUGS FOR TREATMENT OF BONE DISEASES,MUSCULO-SKELETAL SYSTEM
1119119,35204966,2.70E-35,1.24E-27,adult_children_senior_youth,senior,adalimumab,cardiac arrest,Cardiac disorders,Tumor necrosis factor alpha (TNF-a) inhibitors,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
735979,36416600,2.81E-35,1.29E-27,adult_children_senior_youth,senior,risperidone,hyponatraemia,Metabolism and nutrition disorders,Other antipsychotics,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
1153428,36254981,3.27E-35,1.50E-27,adult_children_senior_youth,children,fexofenadine,extra dose administered,"Injury, poisoning and procedural complications",Other antihistamines for systemic use,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
45892558,37019321,4.67E-35,2.14E-27,adult_senior,adult,dasabuvir,renal impairment,Renal and urinary disorders,$Antivirals for treatment of HCV infections$Antivirals for treatment of HCV infections,$DIRECT ACTING ANTIVIRALS$DIRECT ACTING ANTIVIRALS,$ANTIVIRALS FOR SYSTEMIC USE$ANTIVIRALS FOR SYSTEMIC USE,$ANTIINFECTIVES FOR SYSTEMIC USE$ANTIINFECTIVES FOR SYSTEMIC USE
1786055,35809243,4.91E-35,2.25E-27,adult_children_senior_youth,youth,deferasirox,pain,General disorders and administration site conditions,Iron chelating agents,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,VARIOUS
715233,36516863,5.03E-35,2.31E-27,adult_children_senior_youth,children_youth,baclofen,hypertonia,Nervous system disorders,Other centrally acting agents,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
1151789,35406369,9.76E-35,4.48E-27,adult_children_senior_youth,senior,etanercept,hypoacusis,Ear and labyrinth disorders,Tumor necrosis factor alpha (TNF-a) inhibitors,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1777087,36416534,1.33E-34,6.13E-27,adult_children_senior_youth,children,hydroxychloroquine,obesity,Metabolism and nutrition disorders,Aminoquinolines,ANTIMALARIALS,ANTIPROTOZOALS,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"
1151789,36516972,1.57E-34,7.21E-27,adult_children_senior_youth,senior,etanercept,musculoskeletal disorder,Musculoskeletal and connective tissue disorders,Tumor necrosis factor alpha (TNF-a) inhibitors,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
950637,35104177,2.01E-34,9.23E-27,adult_children_senior_youth,children_youth,tacrolimus,thrombotic microangiopathy,Blood and lymphatic system disorders,"$Agents for dermatitis, excluding corticosteroids$Calcineurin inhibitors",$OTHER DERMATOLOGICAL PREPARATIONS$IMMUNOSUPPRESSANTS,$OTHER DERMATOLOGICAL PREPARATIONS$IMMUNOSUPPRESSANTS,$DERMATOLOGICALS$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
996416,36919194,2.06E-34,9.47E-27,adult_children_senior_youth,youth,finasteride,libido decreased,$Psychiatric disorders$Reproductive system and breast disorders,$Other dermatologicals$Alpha-adrenoreceptor antagonists$Testosterone-5-alpha reductase inhibitors,$OTHER DERMATOLOGICAL PREPARATIONS$DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY$DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,$OTHER DERMATOLOGICAL PREPARATIONS$UROLOGICALS$UROLOGICALS,$DERMATOLOGICALS$GENITO URINARY SYSTEM AND SEX HORMONES$GENITO URINARY SYSTEM AND SEX HORMONES
1310317,42890655,2.13E-34,9.77E-27,adult_senior,adult,cyclophosphamide,psychological trauma,Psychiatric disorders,Nitrogen mustard analogues,ALKYLATING AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
735979,36919232,2.43E-34,1.12E-26,adult_children_senior_youth,youth,risperidone,self injurious behaviour,0,Other antipsychotics,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
1333357,37622529,2.61E-34,1.20E-26,adult_children_senior_youth,children_youth,busulfan,hypertension,Vascular disorders,Alkyl sulfonates,ALKYLATING AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1777806,35809237,2.74E-34,1.26E-26,adult_children_senior_youth,children,ceftriaxone,flank pain,Renal and urinary disorders,$Third-generation cephalosporins$Third-generation cephalosporins,$OTHER BETA-LACTAM ANTIBACTERIALS$OTHER BETA-LACTAM ANTIBACTERIALS,$ANTIBACTERIALS FOR SYSTEMIC USE$ANTIBACTERIALS FOR SYSTEMIC USE,$ANTIINFECTIVES FOR SYSTEMIC USE$ANTIINFECTIVES FOR SYSTEMIC USE
1310149,37622465,2.94E-34,1.35E-26,adult_children_senior_youth,youth,warfarin,deep vein thrombosis,Vascular disorders,Vitamin K antagonists,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,BLOOD AND BLOOD FORMING ORGANS
1129625,42889647,3.41E-34,1.56E-26,adult_children_senior_youth,youth,diphenhydramine,toxicity to various agents,"Injury, poisoning and procedural complications",$Antihistamines for topical use$Aminoalkyl ethers$Antihistamines for topical use$Aminoalkyl ethers,"$ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.$ANTIHISTAMINES FOR SYSTEMIC USE$ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.$ANTIHISTAMINES FOR SYSTEMIC USE","$ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.$ANTIHISTAMINES FOR SYSTEMIC USE$ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.$ANTIHISTAMINES FOR SYSTEMIC USE",$DERMATOLOGICALS$RESPIRATORY SYSTEM$DERMATOLOGICALS$RESPIRATORY SYSTEM
1151789,36516828,4.59E-34,2.11E-26,adult_children_senior_youth,adult,etanercept,psoriatic arthropathy,$Immune system disorders$Musculoskeletal and connective tissue disorders$Skin and subcutaneous tissue disorders,Tumor necrosis factor alpha (TNF-a) inhibitors,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
996416,37119688,5.26E-34,2.41E-26,adult_senior_youth,youth,finasteride,testicular pain,Reproductive system and breast disorders,$Other dermatologicals$Alpha-adrenoreceptor antagonists$Testosterone-5-alpha reductase inhibitors,$OTHER DERMATOLOGICAL PREPARATIONS$DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY$DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,$OTHER DERMATOLOGICAL PREPARATIONS$UROLOGICALS$UROLOGICALS,$DERMATOLOGICALS$GENITO URINARY SYSTEM AND SEX HORMONES$GENITO URINARY SYSTEM AND SEX HORMONES
1326303,37219867,5.69E-34,2.61E-26,adult_children_senior_youth,youth,digoxin,pulmonary arterial hypertension,Vascular disorders,Digitalis glycosides,CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
705944,36110597,5.73E-34,2.63E-26,adult_children_senior_youth,senior,methylphenidate,pneumonia,Infections and infestations,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
1151789,35204989,5.85E-34,2.68E-26,adult_children_senior_youth,senior,etanercept,cardiac disorder,Cardiac disorders,Tumor necrosis factor alpha (TNF-a) inhibitors,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1305058,37080784,6.44E-34,2.96E-26,adult_children_senior_youth,children_youth,methotrexate,acute kidney injury,Renal and urinary disorders,$Other immunosuppressants$Folic acid analogues,$IMMUNOSUPPRESSANTS$ANTIMETABOLITES,$IMMUNOSUPPRESSANTS$ANTINEOPLASTIC AGENTS,$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1301267,36516749,6.49E-34,2.98E-26,adult_children_senior,senior,melphalan,osteonecrosis,Vascular disorders,Nitrogen mustard analogues,ALKYLATING AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
991876,35204977,6.78E-34,3.11E-26,adult_children_senior_youth,youth,loperamide,torsade de pointes,Cardiac disorders,$Antipropulsives$Antipropulsives,$ANTIPROPULSIVES$ANTIPROPULSIVES,"$ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS$ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",$ALIMENTARY TRACT AND METABOLISM$ALIMENTARY TRACT AND METABOLISM
1167322,35909625,8.46E-34,3.88E-26,adult_children_senior_youth,youth,allopurinol,hepatotoxicity,"Injury, poisoning and procedural complications",$Preparations inhibiting uric acid production$Preparations inhibiting uric acid production,$ANTIGOUT PREPARATIONS$ANTIGOUT PREPARATIONS,$ANTIGOUT PREPARATIONS$ANTIGOUT PREPARATIONS,$MUSCULO-SKELETAL SYSTEM$MUSCULO-SKELETAL SYSTEM
1154161,36919231,9.52E-34,4.37E-26,adult_children_youth,children_youth,montelukast,intentional self-injury,"$Injury, poisoning and procedural complications$Psychiatric disorders",$Leukotriene receptor antagonists$Leukotriene receptor antagonists,$OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES$OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,$RESPIRATORY SYSTEM$RESPIRATORY SYSTEM
19011440,36776613,9.57E-34,4.39E-26,adult_children_senior_youth,children_youth,everolimus,seizure,Nervous system disorders,$Protein kinase inhibitors$Selective immunosuppressants,$OTHER ANTINEOPLASTIC AGENTS$IMMUNOSUPPRESSANTS,$ANTINEOPLASTIC AGENTS$IMMUNOSUPPRESSANTS,$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1308290,35809207,9.62E-34,4.41E-26,adult_children_senior_youth,children_youth,vincristine,mucosal inflammation,General disorders and administration site conditions,Vinca alkaloids and analogues,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1177480,35104877,1.02E-33,4.68E-26,adult_children_senior_youth,senior,ibuprofen,febrile neutropenia,General disorders and administration site conditions,"$Antiinflammatory products for vaginal administration$Other cardiac preparations$Propionic acid derivatives$Antiinflammatory preparations, non-steroids for topical use$Other throat preparations$Opioids in combination with non-opioid analgesics$Opioids in combination with non-opioid analgesics$Propionic acid derivatives","$OTHER GYNECOLOGICALS$OTHER CARDIAC PREPARATIONS$ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS$TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN$THROAT PREPARATIONS$OPIOIDS$OPIOIDS$ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",$OTHER GYNECOLOGICALS$CARDIAC THERAPY$ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS$TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN$THROAT PREPARATIONS$ANALGESICS$ANALGESICS$ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,$GENITO URINARY SYSTEM AND SEX HORMONES$CARDIOVASCULAR SYSTEM$MUSCULO-SKELETAL SYSTEM$MUSCULO-SKELETAL SYSTEM$RESPIRATORY SYSTEM$NERVOUS SYSTEM$NERVOUS SYSTEM$MUSCULO-SKELETAL SYSTEM
1351541,37622518,1.18E-33,5.43E-26,adult_children_senior_youth,adult_youth,leuprolide,haemorrhage,Vascular disorders,$Gonadotropin releasing hormone analogues$Gonadotropin releasing hormone analogues,$HORMONES AND RELATED AGENTS$HORMONES AND RELATED AGENTS,$ENDOCRINE THERAPY$ENDOCRINE THERAPY,$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS$ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
