drug_concept_id,outcome_concept_id,drug_concept,outcome_concept,group,sig_group,lrt_p,adj_p
1314002,36416485,atenolol,lactic acidosis,adult_children_senior_youth,children,3.99E-19,1.83E-11
1305058,36718526,methotrexate,convulsion,adult_children_senior_youth,children,4.72E-19,2.17E-11
1501700,35205305,levothyroxine,atrial septal defect,adult_children_senior_youth,children,4.81E-19,2.21E-11
701322,36718119,memantine,encephalopathy,adult_children_senior,children,5.94E-19,2.73E-11
800878,35104883,clozapine,neutropenia,adult_children_senior_youth,children,6.03E-19,2.77E-11
1103314,36718321,tramadol,somnolence,adult_children_senior_youth,children,6.21E-19,2.85E-11
1125315,36918984,acetaminophen,hallucination,adult_children_senior_youth,children,6.41E-19,2.94E-11
1149196,43053920,cetirizine,accidental exposure to product,adult_children_senior_youth,children,6.86E-19,3.15E-11
953076,36211491,famotidine,accidental overdose,adult_children_senior_youth,children,8.15E-19,3.74E-11
1151789,36416534,etanercept,obesity,adult_children_senior_youth,children,8.52E-19,3.91E-11
43013024,37622518,apixaban,haemorrhage,adult_children_senior_youth,children,8.86E-19,4.07E-11
1636780,36312388,testosterone,blood testosterone increased,adult_children_senior_youth,children,1.02E-18,4.68E-11
1154161,36919068,montelukast,homicidal ideation,adult_children_senior_youth,children,1.03E-18,4.74E-11
1305058,35707714,methotrexate,pancreatitis acute,adult_children_senior_youth,children,1.20E-18,5.50E-11
961047,36211496,ranitidine,overdose,adult_children_senior_youth,children,1.32E-18,6.04E-11
722424,36211197,interferon beta-1a,maternal drugs affecting foetus,adult_children_youth,children,1.45E-18,6.68E-11
1115008,36314856,naproxen,bone density decreased,adult_children_senior,children,1.49E-18,6.84E-11
964339,36516779,sulfasalazine,arthritis,adult_children_senior_youth,children,1.52E-18,6.97E-11
1781406,35104883,stavudine,neutropenia,adult_children_senior_youth,children,1.67E-18,7.68E-11
1129625,35104877,diphenhydramine,febrile neutropenia,adult_children_senior_youth,children,1.76E-18,8.08E-11
722031,37219942,paroxetine,lung disorder,adult_children_senior_youth,children,1.80E-18,8.26E-11
1177480,36211491,ibuprofen,accidental overdose,adult_children_senior_youth,children,1.85E-18,8.48E-11
1636780,37320312,testosterone,hair growth abnormal,adult_children_senior_youth,children,1.85E-18,8.50E-11
1351541,35809014,leuprolide,injection site reaction,adult_children_senior,children,2.03E-18,9.32E-11
1154332,42889647,pseudoephedrine,toxicity to various agents,adult_children_senior_youth,children,2.07E-18,9.49E-11
720810,35809043,pramipexole,neuroleptic malignant syndrome,adult_children_senior_youth,children,2.10E-18,9.65E-11
766814,43053904,quetiapine,exposure during pregnancy,adult_children_youth,children,2.37E-18,1.09E-10
937368,36416534,infliximab,obesity,adult_children,children,2.84E-18,1.30E-10
766814,36918912,quetiapine,catatonia,adult_children_senior_youth,children,2.92E-18,1.34E-10
1110942,36009700,omalizumab,asthma,adult_children_senior_youth,children,3.49E-18,1.60E-10
715233,36211219,baclofen,intracranial hypotension,adult_children_senior_youth,children,3.74E-18,1.72E-10
723013,36416500,diazepam,respiratory acidosis,adult_children_senior_youth,children,4.20E-18,1.93E-10
19003999,36009891,mycophenolate mofetil,acute graft versus host disease,adult_children_senior_youth,children,4.30E-18,1.97E-10
1125315,36009783,acetaminophen,urticaria,adult_children_senior_youth,children,4.43E-18,2.03E-10
1154161,36919122,montelukast,enuresis,adult_children_senior_youth,children,4.66E-18,2.14E-10
1125315,36918937,acetaminophen,delirium,adult_children_senior_youth,children,4.76E-18,2.19E-10
750982,35607306,bupropion,mydriasis,adult_children_senior_youth,children,5.80E-18,2.66E-10
1115008,36110649,naproxen,septic shock,adult_children_senior_youth,children,6.16E-18,2.83E-10
1305058,35708259,methotrexate,oesophageal stenosis,adult_children_senior_youth,children,6.56E-18,3.01E-10
1125315,36211491,acetaminophen,accidental overdose,adult_children_senior_youth,children,7.28E-18,3.34E-10
739138,35205315,sertraline,cardiomegaly,adult_children_senior_youth,children,8.16E-18,3.74E-10
1545958,35506622,atorvastatin,type 2 diabetes mellitus,adult_children_senior_youth,children,8.40E-18,3.86E-10
1154161,36718214,montelukast,psychomotor hyperactivity,adult_children_senior_youth,children,8.45E-18,3.88E-10
1154332,36211165,pseudoephedrine,drug toxicity,adult_children_senior_youth,children,9.58E-18,4.40E-10
705944,35809324,methylphenidate,drug effect delayed,adult_children_senior_youth,children,1.04E-17,4.76E-10
1118084,35104883,celecoxib,neutropenia,adult_children_senior_youth,children,1.06E-17,4.87E-10
1353766,36311982,propranolol,heart rate decreased,adult_children_senior_youth,children,1.36E-17,6.25E-10
43526465,35205025,canagliflozin,dizziness,adult_children_senior_youth,children,1.45E-17,6.65E-10
1119119,35607078,adalimumab,uveitis,adult_children_senior_youth,children,1.62E-17,7.45E-10
709567,36718428,lisdexamfetamine,logorrhoea,adult_children_senior_youth,children,1.92E-17,8.81E-10
1149380,36919235,fluticasone,suicidal ideation,adult_children_senior_youth,children,1.95E-17,8.94E-10
1149196,36919098,cetirizine,abnormal behaviour,adult_children_senior_youth,children,1.97E-17,9.03E-10
1177480,37019295,ibuprofen,tubulointerstitial nephritis,adult_children_senior_youth,children,2.10E-17,9.65E-10
800878,35104879,clozapine,granulocytopenia,adult_children_senior_youth,children,2.32E-17,1.07E-09
1589505,37521618,levonorgestrel,caesarean section,adult_children_youth,children,2.53E-17,1.16E-09
939259,36919059,budesonide,aggression,adult_children_senior_youth,children,2.73E-17,1.25E-09
797617,35205305,citalopram,atrial septal defect,adult_children_youth,children,2.72E-17,1.25E-09
1124300,36416606,diclofenac,dehydration,adult_children_senior_youth,children,2.75E-17,1.26E-09
734354,36211297,pregabalin,fall,adult_children_senior_youth,children,3.34E-17,1.53E-09
1125315,36009754,acetaminophen,toxic epidermal necrolysis,adult_children_senior_youth,children,3.40E-17,1.56E-09
715233,35204928,baclofen,bradycardia,adult_children_senior_youth,children,3.39E-17,1.56E-09
1337620,36617219,capecitabine,metastases to central nervous system,adult_children_senior_youth,children,3.50E-17,1.61E-09
1154029,43053920,fentanyl,accidental exposure to product,adult_children_senior_youth,children,3.54E-17,1.62E-09
1305058,35607078,methotrexate,uveitis,adult_children_senior_youth,children,3.64E-17,1.67E-09
1125315,35809054,acetaminophen,pyrexia,adult_children_senior_youth,children,3.94E-17,1.81E-09
1350504,35406368,etoposide,hearing impaired,adult_children_youth,children,3.99E-17,1.83E-09
1174888,36211491,hydrocodone,accidental overdose,adult_children_senior_youth,children,4.39E-17,2.02E-09
1310149,37622518,warfarin,haemorrhage,adult_children_senior_youth,children,5.09E-17,2.34E-09
705944,43053848,methylphenidate,drug effect incomplete,adult_children_senior_youth,children,5.88E-17,2.70E-09
1305058,36776613,methotrexate,seizure,adult_children_senior_youth,children,6.42E-17,2.95E-09
1129625,36918984,diphenhydramine,hallucination,adult_children_senior_youth,children,6.59E-17,3.03E-09
757688,46276591,aripiprazole,wrong technique in product usage process,adult_children_senior_youth,children,7.12E-17,3.27E-09
708298,35809369,midazolam,drug withdrawal syndrome,adult_children_senior,children,7.23E-17,3.32E-09
722031,35205001,paroxetine,heart disease congenital,adult_children_senior_youth,children,8.47E-17,3.89E-09
745466,36718540,valproate,status epilepticus,adult_children_senior_youth,children,9.00E-17,4.13E-09
722031,36918918,paroxetine,attention deficit/hyperactivity disorder,adult_children_senior_youth,children,9.66E-17,4.44E-09
1305058,36718123,methotrexate,leukoencephalopathy,adult_children_senior_youth,children,1.02E-16,4.69E-09
903963,36416534,triamcinolone,obesity,adult_children_senior,children,1.25E-16,5.73E-09
1305058,36110642,methotrexate,sepsis,adult_children_senior_youth,children,1.83E-16,8.38E-09
1112807,35205305,aspirin,atrial septal defect,adult_children_senior_youth,children,2.15E-16,9.86E-09
1150345,35809005,meloxicam,injection site pain,adult_children_senior_youth,children,2.34E-16,1.07E-08
750982,36718362,bupropion,myoclonus,adult_children_senior_youth,children,2.38E-16,1.09E-08
1353766,37622449,propranolol,hypotension,adult_children_senior_youth,children,2.41E-16,0.000000011
792263,42889647,loxapine,toxicity to various agents,adult_children_senior_youth,children,2.44E-16,1.12E-08
1308290,37622499,vincristine,venoocclusive disease,adult_children_youth,children,2.51E-16,1.15E-08
1301065,35909508,dalteparin,hepatic function abnormal,adult_children_senior_youth,children,2.68E-16,1.23E-08
1305058,37219905,methotrexate,hypoxia,adult_children_senior_youth,children,2.70E-16,1.24E-08
1316262,35809054,sildenafil,pyrexia,adult_children_senior_youth,children,3.67E-16,1.68E-08
1118084,37019321,celecoxib,renal impairment,adult_children_senior,children,3.72E-16,1.71E-08
1125315,35104161,acetaminophen,coagulopathy,adult_children_senior_youth,children,3.96E-16,1.82E-08
723013,36718526,diazepam,convulsion,adult_children_senior_youth,children,4.43E-16,2.04E-08
1177480,35708302,ibuprofen,intestinal perforation,adult_children_senior_youth,children,4.48E-16,2.06E-08
1154161,36918902,montelukast,obsessive-compulsive disorder,adult_children_senior_youth,children,4.57E-16,0.000000021
1119119,36516779,adalimumab,arthritis,adult_children_senior_youth,children,4.95E-16,2.27E-08
40241331,36313240,rivaroxaban,haemoglobin decreased,adult_children_senior_youth,children,5.25E-16,2.41E-08
1351541,35808999,leuprolide,injection site mass,adult_children_senior_youth,children,5.34E-16,2.45E-08
1308290,35104236,vincristine,histiocytosis haematophagic,adult_children_senior_youth,children,5.41E-16,2.48E-08
1301267,36009703,melphalan,bronchospasm,adult_children_senior,children,5.85E-16,2.68E-08
40228152,37622518,dabigatran etexilate,haemorrhage,adult_children_senior,children,6.62E-16,3.04E-08
755695,36311779,fluoxetine,cardiac murmur,adult_children_senior_youth,children,6.68E-16,3.07E-08
956874,36110986,furosemide,respiratory syncytial virus infection,adult_children_senior_youth,children,6.92E-16,3.18E-08
766814,36919098,quetiapine,abnormal behaviour,adult_children_senior_youth,children,6.99E-16,3.21E-08
19080458,37622529,eculizumab,hypertension,adult_children_senior_youth,children,8.24E-16,3.78E-08
703244,36315381,paliperidone,weight increased,adult_children_senior_youth,children,9.33E-16,4.28E-08
1125315,36009724,acetaminophen,stevens-johnson syndrome,adult_children_senior_youth,children,9.36E-16,0.000000043
836715,36919230,temazepam,completed suicide,adult_children_senior_youth,children,9.37E-16,0.000000043
970250,36110986,spironolactone,respiratory syncytial virus infection,adult_children_senior_youth,children,1.02E-15,4.68E-08
1560171,36718526,glipizide,convulsion,adult_children_senior_youth,children,1.05E-15,4.81E-08
1762711,35909518,ribavirin,hepatic failure,adult_children_senior_youth,children,1.05E-15,4.84E-08
1799139,36919207,oseltamivir,nightmare,adult_children_senior_youth,children,1.08E-15,4.95E-08
1305058,36313534,methotrexate,aspartate aminotransferase increased,adult_children_senior_youth,children,1.16E-15,5.31E-08
1103314,35809101,tramadol,ataxia,adult_children_senior_youth,children,1.18E-15,5.42E-08
1305058,35909624,methotrexate,hepatocellular injury,adult_children_senior_youth,children,1.20E-15,0.000000055
1518254,35909624,dexamethasone,hepatocellular injury,adult_children_senior_youth,children,1.21E-15,5.56E-08
1186087,36516779,abatacept,arthritis,adult_children_senior_youth,children,1.24E-15,5.69E-08
1149196,36211491,cetirizine,accidental overdose,adult_children_senior_youth,children,1.24E-15,5.69E-08
715997,36718119,donepezil,encephalopathy,adult_children_senior,children,1.24E-15,5.69E-08
1153428,35809293,fexofenadine,product taste abnormal,adult_children_senior_youth,children,1.25E-15,5.75E-08
1344905,35909571,carboplatin,venoocclusive liver disease,adult_children,children,1.50E-15,0.000000069
1328165,35205246,diltiazem,cardiogenic shock,adult_children_senior_youth,children,1.53E-15,7.04E-08
40222444,37219831,denosumab,interstitial lung disease,adult_children_senior,children,1.62E-15,7.45E-08
1115008,35506459,naproxen,adrenal insufficiency,adult_children_senior_youth,children,1.74E-15,7.99E-08
1154343,36919235,albuterol,suicidal ideation,adult_children_senior_youth,children,1.98E-15,0.000000091
42709322,36617495,axitinib,renal cell carcinoma,adult_children_senior_youth,children,2.00E-15,9.19E-08
1154343,36211496,albuterol,overdose,adult_children_senior_youth,children,2.19E-15,0.0000001
742185,35708171,atomoxetine,dysphagia,adult_children_youth,children,2.46E-15,0.000000113
1539403,36718365,simvastatin,personality change,adult_children_senior,children,2.88E-15,0.000000132
1154161,36918985,montelukast,"hallucination, auditory",adult_children_senior_youth,children,3.00E-15,0.000000138
745466,36718530,valproate,epilepsy,adult_children_senior_youth,children,3.38E-15,0.000000155
1343916,36009703,epinephrine,bronchospasm,adult_children_senior_youth,children,3.52E-15,0.000000161
722031,37219868,paroxetine,pulmonary hypertension,adult_children_senior_youth,children,3.82E-15,0.000000175
1398937,36718220,clonidine,dystonia,adult_children_senior_youth,children,4.18E-15,0.000000192
1500211,36718132,medroxyprogesterone,headache,adult_children_senior_youth,children,4.20E-15,0.000000193
1119119,35708073,adalimumab,inflammatory bowel disease,adult_children_senior_youth,children,4.58E-15,0.00000021
1316262,36311887,sildenafil,catheterisation cardiac,adult_children_senior_youth,children,4.74E-15,0.000000218
766814,36919046,quetiapine,emotional distress,adult_children_senior_youth,children,4.84E-15,0.000000222
937368,36009756,infliximab,anaphylactic reaction,adult_children_senior_youth,children,5.08E-15,0.000000233
705944,35808830,methylphenidate,application site urticaria,adult_children_youth,children,5.09E-15,0.000000234
19010482,35809207,cyclosporine,mucosal inflammation,adult_children_senior_youth,children,5.72E-15,0.000000262
1518254,36718008,dexamethasone,haemorrhage intracranial,adult_children_senior_youth,children,5.75E-15,0.000000264
778711,36919236,cyclobenzaprine,suicide attempt,adult_children_senior_youth,children,6.28E-15,0.000000288
757688,36919098,aripiprazole,abnormal behaviour,adult_children_senior_youth,children,6.72E-15,0.000000308
916005,35708690,solifenacin,dry mouth,adult_children_senior_youth,children,7.09E-15,0.000000326
929887,37522181,lansoprazole,hospitalisation,adult_children_senior_youth,children,7.49E-15,0.000000344
1177480,36918984,ibuprofen,hallucination,adult_children_senior_youth,children,7.57E-15,0.000000348
1778162,35843604,cefuroxime,pharmaceutical product complaint,adult_children_senior_youth,children,8.82E-15,0.000000405
715259,36818729,duloxetine,premature baby,adult_children,children,9.69E-15,0.000000445
1178663,37019319,indometacin,renal failure acute,adult_children_senior,children,9.78E-15,0.000000449
715233,35809139,baclofen,irritability,adult_children_senior_youth,children,1.05E-14,0.000000481
723013,36776613,diazepam,seizure,adult_children_senior_youth,children,1.11E-14,0.00000051
1174888,35204970,hydrocodone,cardio-respiratory arrest,adult_children_senior_youth,children,1.17E-14,0.000000537
739138,35205319,sertraline,dilatation ventricular,adult_children_senior_youth,children,1.18E-14,0.000000541
1151789,36818729,etanercept,premature baby,adult_children_youth,children,1.24E-14,0.000000567
780442,36919098,varenicline,abnormal behaviour,adult_children_senior_youth,children,1.32E-14,0.000000605
766529,36718201,haloperidol,extrapyramidal disorder,adult_children_senior_youth,children,1.45E-14,0.000000667
1103640,35607485,methadone,visual impairment,adult_children_senior,children,1.53E-14,0.000000704
1361711,36919230,glyceryl trinitrate,completed suicide,adult_children_senior_youth,children,1.57E-14,0.000000719
722031,35205348,paroxetine,ventricular hypertrophy,adult_children_senior,children,1.69E-14,0.000000774
40241331,36718001,rivaroxaban,cerebral infarction,adult_children_senior,children,1.73E-14,0.000000796
950637,42889498,tacrolimus,graft versus host disease in skin,adult_children_senior_youth,children,1.84E-14,0.000000846
1103314,36416500,tramadol,respiratory acidosis,adult_children_senior_youth,children,1.91E-14,0.000000878
1519936,35808898,etonogestrel,implant site pain,adult_children_youth,children,1.92E-14,0.000000882
1305058,36718061,methotrexate,intracranial venous sinus thrombosis,adult_children_senior_youth,children,2.21E-14,0.00000102
1305058,37219898,methotrexate,tachypnoea,adult_children_senior_youth,children,2.76E-14,0.00000127
1501700,36416599,levothyroxine,hypernatraemia,adult_children_senior_youth,children,3.14E-14,0.00000144
1503297,36315606,metformin,glomerular filtration rate decreased,adult_children_senior,children,3.25E-14,0.00000149
798874,36718526,clonazepam,convulsion,adult_children_senior_youth,children,3.30E-14,0.00000151
742185,43053924,atomoxetine,prescribed overdose,adult_children_senior_youth,children,3.51E-14,0.00000161
1734104,36009783,azithromycin,urticaria,adult_children_senior_youth,children,3.63E-14,0.00000167
1518254,35205230,dexamethasone,ascites,adult_children_senior_youth,children,3.91E-14,0.00000179
1149196,36211496,cetirizine,overdose,adult_children_senior_youth,children,3.93E-14,0.0000018
715259,36211491,duloxetine,accidental overdose,adult_children_senior_youth,children,3.92E-14,0.0000018
750982,36416487,bupropion,metabolic acidosis,adult_children_senior_youth,children,3.99E-14,0.00000183
798874,43053854,clonazepam,drug reaction with eosinophilia and systemic symptoms,adult_children_senior_youth,children,4.33E-14,0.00000199
1710612,35708151,zidovudine,abdominal distension,adult_children_senior_youth,children,4.53E-14,0.00000208
729855,37219820,botulinum toxin type A,pneumonia aspiration,adult_children_senior_youth,children,5.51E-14,0.00000253
778711,36718458,cyclobenzaprine,serotonin syndrome,adult_children_senior_youth,children,5.55E-14,0.00000255
1714277,37320193,voriconazole,photosensitivity reaction,adult_children_senior_youth,children,5.86E-14,0.00000269
1119119,35808988,adalimumab,injection site irritation,adult_children_senior_youth,children,6.13E-14,0.00000282
1110410,36718321,morphine,somnolence,adult_children_senior_youth,children,6.35E-14,0.00000292
1786055,35708208,deferasirox,vomiting,adult_children_senior_youth,children,7.13E-14,0.00000327
766529,36718321,haloperidol,somnolence,adult_children_senior_youth,children,7.33E-14,0.00000336
986417,36919075,polyethylene glycol 3350,paranoia,adult_children_senior,children,8.14E-14,0.00000374
1103314,36211491,tramadol,accidental overdose,adult_children_senior_youth,children,8.26E-14,0.00000379
1710612,36314099,zidovudine,blood lactic acid increased,adult_children_youth,children,8.49E-14,0.0000039
1314924,35708066,gemcitabine,enteritis,adult_children_senior,children,9.16E-14,0.0000042
974166,36211076,hydrochlorothiazide,pathological fracture,adult_children_senior,children,9.51E-14,0.00000437
40222444,36211099,denosumab,femur fracture,adult_children_senior_youth,children,1.03E-13,0.00000472
1177480,36009756,ibuprofen,anaphylactic reaction,adult_children_senior_youth,children,1.14E-13,0.00000523
1154343,36718214,albuterol,psychomotor hyperactivity,adult_children_senior_youth,children,1.17E-13,0.00000535
1149196,36718321,cetirizine,somnolence,adult_children_senior_youth,children,1.23E-13,0.00000562
1777806,37019315,ceftriaxone,anuria,adult_children_senior_youth,children,1.45E-13,0.00000664
1115008,36311923,naproxen,electrocardiogram qt prolonged,adult_children_senior,children,1.57E-13,0.00000723
729855,35809146,botulinum toxin type A,mobility decreased,adult_children_senior_youth,children,1.66E-13,0.00000761
1778162,35708208,cefuroxime,vomiting,adult_children_senior_youth,children,1.68E-13,0.00000773
742185,35809323,atomoxetine,drug effect decreased,adult_children_senior_youth,children,1.73E-13,0.00000794
1115008,36416534,naproxen,obesity,adult_children_senior_youth,children,1.80E-13,0.00000827
1304107,35104877,imatinib,febrile neutropenia,adult_children_senior_youth,children,1.84E-13,0.00000845
1597756,42889647,glimepiride,toxicity to various agents,adult_children_senior_youth,children,1.92E-13,0.00000883
1149196,36718214,cetirizine,psychomotor hyperactivity,adult_children_senior_youth,children,1.96E-13,0.00000898
1321636,36111047,bosentan,viral infection,adult_children_senior_youth,children,2.06E-13,0.00000945
987245,37219907,lactulose,cough,adult_children_senior_youth,children,2.25E-13,0.0000103
1115008,36517125,naproxen,synovitis,adult_children_senior_youth,children,2.33E-13,0.0000107
1353766,35204928,propranolol,bradycardia,adult_children_senior_youth,children,2.46E-13,0.0000113
1129625,35607306,diphenhydramine,mydriasis,adult_children_senior_youth,children,2.54E-13,0.0000116
1115008,35809005,naproxen,injection site pain,adult_children_senior_youth,children,2.66E-13,0.0000122
798874,36718321,clonazepam,somnolence,adult_children_senior_youth,children,2.85E-13,0.0000131
1789276,35506636,gatifloxacin,hypoglycaemia,adult_children_senior_youth,children,3.24E-13,0.0000149
1395557,42889498,fludarabine,graft versus host disease in skin,adult_children_senior_youth,children,3.59E-13,0.0000165
929887,36416550,lansoprazole,osteopenia,adult_children_senior_youth,children,3.88E-13,0.0000178
742267,35909513,topiramate,acute hepatic failure,adult_children_youth,children,4.18E-13,0.0000192
1129625,36718458,diphenhydramine,serotonin syndrome,adult_children_senior_youth,children,4.29E-13,0.0000197
723013,36009724,diazepam,stevens-johnson syndrome,adult_children_senior_youth,children,4.56E-13,0.0000209
1551099,35707714,prednisone,pancreatitis acute,adult_children_senior_youth,children,4.87E-13,0.0000224
1307863,36416487,verapamil,metabolic acidosis,adult_children_senior_youth,children,4.97E-13,0.0000228
1321636,788391,bosentan,liver function test increased,adult_children_senior_youth,children,5.10E-13,0.0000234
1304850,37622529,filgrastim,hypertension,adult_children_senior_youth,children,5.09E-13,0.0000234
715939,36211197,escitalopram,maternal drugs affecting foetus,adult_children_youth,children,5.60E-13,0.0000257
1398937,36718214,clonidine,psychomotor hyperactivity,adult_children_senior_youth,children,6.05E-13,0.0000278
723013,35607294,diazepam,strabismus,adult_children_senior_youth,children,6.14E-13,0.0000282
40241331,36211375,rivaroxaban,head injury,adult_children_senior_youth,children,6.63E-13,0.0000304
1346823,35205276,carvedilol,congestive cardiomyopathy,adult_children_senior_youth,children,6.93E-13,0.0000318
1149196,36919059,cetirizine,aggression,adult_children_senior_youth,children,6.93E-13,0.0000318
1388796,36110015,leucovorin,bacterial infection,adult_children_senior_youth,children,8.37E-13,0.0000384
1551099,35104883,prednisone,neutropenia,adult_children_senior_youth,children,8.63E-13,0.0000396
19078187,35406368,ifosfamide,hearing impaired,adult_children_youth,children,8.64E-13,0.0000397
766814,35506601,quetiapine,gynaecomastia,adult_children_senior_youth,children,9.08E-13,0.0000417
1516800,36211123,risedronate,spinal fracture,adult_children_senior,children,9.31E-13,0.0000427
939259,36009700,budesonide,asthma,adult_children_senior_youth,children,9.36E-13,0.000043
1125315,36254981,acetaminophen,extra dose administered,adult_children_senior_youth,children,9.92E-13,0.0000455
1501700,35506673,levothyroxine,craniopharyngioma,adult_children_senior_youth,children,1.01E-12,0.0000465
1715117,37219907,aztreonam,cough,adult_children_senior_youth,children,1.09E-12,0.0000502
1373928,35809310,hydralazine,drug interaction,adult_children_senior,children,1.22E-12,0.0000559
715233,36718352,baclofen,clonus,adult_children_senior_youth,children,1.28E-12,0.0000589
1769389,35104883,nevirapine,neutropenia,adult_children_senior_youth,children,1.30E-12,0.0000595
40241331,37420588,rivaroxaban,treatment noncompliance,adult_children_senior_youth,children,1.33E-12,0.0000612
715233,36516865,baclofen,hypotonia,adult_children_senior_youth,children,1.35E-12,0.0000618
1307046,36718001,metoprolol,cerebral infarction,adult_children_senior_youth,children,1.45E-12,0.0000664
19077143,35809068,17-alpha-hydroxyprogesterone,stillbirth,adult_children_youth,children,1.48E-12,0.0000678
1151789,46276591,etanercept,wrong technique in product usage process,adult_children_senior_youth,children,1.48E-12,0.000068
1713332,36009783,amoxicillin,urticaria,adult_children_senior_youth,children,1.57E-12,0.0000722
1149380,36009700,fluticasone,asthma,adult_children_senior_youth,children,1.59E-12,0.0000729
1353766,36516865,propranolol,hypotonia,adult_children_senior_youth,children,1.70E-12,0.0000782
749910,42889647,carisoprodol,toxicity to various agents,adult_children_senior_youth,children,1.77E-12,0.0000811
1353766,35205023,propranolol,cyanosis,adult_children_senior_youth,children,1.80E-12,0.0000824
722424,36818823,interferon beta-1a,normal newborn,adult_children_youth,children,1.86E-12,0.0000855
1307046,36311918,metoprolol,electrocardiogram qrs complex prolonged,adult_children_senior,children,1.90E-12,0.0000871
1734104,36009724,azithromycin,stevens-johnson syndrome,adult_children_senior_youth,children,1.91E-12,0.0000878
1315411,35808914,cetuximab,infusion related reaction,adult_children_senior,children,1.93E-12,0.0000887
1781406,36312538,stavudine,blood creatine phosphokinase increased,adult_children_youth,children,2.09E-12,0.0000959
1343346,37220014,vinorelbine,epistaxis,adult_children_senior,children,2.11E-12,0.0000968
1305058,36009894,methotrexate,chronic graft versus host disease,adult_children_senior_youth,children,2.12E-12,0.0000973
1550557,42889647,prednisolone,toxicity to various agents,adult_children_senior_youth,children,2.15E-12,0.0000987
43526465,36315606,canagliflozin,glomerular filtration rate decreased,adult_children_senior,children,2.25E-12,0.000103123
1310317,36818729,cyclophosphamide,premature baby,adult_children_youth,children,2.42E-12,0.000111275
1112807,36718008,aspirin,haemorrhage intracranial,adult_children_senior,children,2.45E-12,0.000112356
797399,36009754,gabapentin,toxic epidermal necrolysis,adult_children_senior_youth,children,2.47E-12,0.000113263
1124957,35809058,oxycodone,brain death,adult_children_senior_youth,children,2.55E-12,0.000117179
1177480,37019358,ibuprofen,renal tubular necrosis,adult_children_senior_youth,children,2.64E-12,0.000121122
950637,35708073,tacrolimus,inflammatory bowel disease,adult_children_senior_youth,children,2.73E-12,0.000125317
956874,36314117,furosemide,oxygen saturation decreased,adult_children_senior_youth,children,2.96E-12,0.000135665
40002705,35204966,acetaminophen / hydrocodone Oral Solution,cardiac arrest,adult_children_senior_youth,children,3.11E-12,0.000142625
766529,35708171,haloperidol,dysphagia,adult_children_senior_youth,children,3.11E-12,0.00014297
1337620,37219831,capecitabine,interstitial lung disease,adult_children_senior,children,3.16E-12,0.000145043
1350504,35104236,etoposide,histiocytosis haematophagic,adult_children_senior_youth,children,3.19E-12,0.000146501
1318011,35708417,oxaliplatin,colon cancer,adult_children_senior,children,3.34E-12,0.000153206
19041843,36918984,carbocisteine,hallucination,adult_children_senior_youth,children,3.69E-12,0.000169393
937368,35707930,infliximab,gastroenteritis viral,adult_children_senior_youth,children,4.14E-12,0.000189957
40171288,36110534,tocilizumab,abscess,adult_children_senior_youth,children,4.37E-12,0.000200708
1112807,37622455,aspirin,embolism,adult_children_senior,children,4.77E-12,0.000219171
1769389,36312538,nevirapine,blood creatine phosphokinase increased,adult_children_senior_youth,children,4.96E-12,0.000227505
1322184,37220014,clopidogrel,epistaxis,adult_children_senior,children,5.64E-12,0.000258764
1703687,35909508,acyclovir,hepatic function abnormal,adult_children_senior_youth,children,5.87E-12,0.000269457
709567,36416512,lisdexamfetamine,anorexia,adult_children_senior_youth,children,5.98E-12,0.000274397
1311078,36009711,cytarabine,hypersensitivity,adult_children_senior_youth,children,6.10E-12,0.000280028
1129625,36718362,diphenhydramine,myoclonus,adult_children_senior_youth,children,6.14E-12,0.000281734
956874,36416550,furosemide,osteopenia,adult_children_senior,children,6.67E-12,0.000306338
956874,37520731,furosemide,cardiac operation,adult_children_senior_youth,children,6.82E-12,0.000312866
1125315,36009762,acetaminophen,angioedema,adult_children_senior_youth,children,7.04E-12,0.000323353
1112807,35104281,aspirin,haemolytic anaemia,adult_children_senior_youth,children,7.09E-12,0.000325467
766814,36718201,quetiapine,extrapyramidal disorder,adult_children_senior_youth,children,7.32E-12,0.000336104
40171288,35104236,tocilizumab,histiocytosis haematophagic,adult_children_senior_youth,children,7.34E-12,0.000337133
791967,36918937,lorazepam,delirium,adult_children_senior_youth,children,7.59E-12,0.000348577
1314002,37521163,atenolol,haemodialysis,adult_children_senior_youth,children,8.07E-12,0.000370306
42873636,36312077,mirabegron,blood pressure increased,adult_children_senior_youth,children,8.37E-12,0.000384273
1315942,36516833,docetaxel,myositis,adult_children_senior_youth,children,8.42E-12,0.000386445
1308290,42890355,vincristine,posterior reversible encephalopathy syndrome,adult_children_senior_youth,children,8.55E-12,0.000392394
19017742,36516812,febuxostat,arthralgia,adult_children_senior,children,8.80E-12,0.000404126
766814,36718193,quetiapine,akathisia,adult_children_senior_youth,children,9.40E-12,0.000431304
1388796,36110716,leucovorin,cystitis,adult_children_senior,children,1.00E-11,0.000460112
986417,36919059,polyethylene glycol 3350,aggression,adult_children_senior_youth,children,1.02E-11,0.000467736
43013024,36718001,apixaban,cerebral infarction,adult_children_senior_youth,children,1.02E-11,0.000468392
1154343,36718551,albuterol,sleep terror,adult_children_senior_youth,children,1.17E-11,0.000534963
1351541,36919050,leuprolide,mood altered,adult_children_senior_youth,children,1.20E-11,0.000553021
